"Year","Type of  Summary","Summary","Native American","Asian","Black","Hispanic/Latinx","White","Multi-racial","Unknown","Total"
"2014","Tester Summary","Total Testers","177","8,227","6,566","6,243","4,790","112","1,703","27,818"
"2014","Tester Summary","Distribution of Testers, by Ethnicity","0.60%","29.60%","23.60%","22.40%","17.20%","0.40%","6.10%","100.00%"
"2014","Offer Summary","Bronx High School of Science (10X445)","2","557","18","50","252","8","81","968"
"2014","Offer Summary","Brooklyn Technical High School (13K430)","2","956","127","130","495","14","121","1,845"
"2014","Offer Summary","HS for Mathematics, Science, and Engineering at City College (05M692)","0","72","18","19","51","3","25","188"
"2014","Offer Summary","High School of American Studies at Lehman College (10X696)","1","34","3","24","78","2","23","165"
"2014","Offer Summary","Queens High School for the Sciences at York College (28Q687)","0","106","14","13","12","1","5","151"
"2014","Offer Summary","Staten Island Technical High School (31R605)","0","141","0","19","162","0","22","344"
"2014","Offer Summary","Stuyvesant High School (02M475)","1","680","7","21","164","8","71","952"
"2014","Offer Summary","The Brooklyn Latin School (14K449)","1","179","59","64","120","6","55","484"
"2014","Offer Summary","Total Offers, by Ethnicity","7","2,725","246","340","1,334","42","403","5,097"
"2014","Offer Summary","Distribution of Offers, by Ethnicity","0.10%","53.50%","4.80%","6.70%","26.20%","0.80%","7.90%","100.00%"
"2014","Offer Summary","Percent of Testers who Received an Offer, by Ethnicity","4.00%","33.10%","3.70%","5.40%","27.80%","37.50%","23.70%","18.30%"
"2015","Tester Summary","Total Testers","194","7,946","6,267","6,238","4,845","128","1,556","27,174"
"2015","Tester Summary","Distribution of Testers, by Ethnicity","0.70%","29.20%","23.10%","23.00%","17.80%","0.50%","5.70%","100.00%"
"2015","Offer Summary","Bronx High School of Science (10X445)","9","567","25","64","223","14","71","973"
"2015","Offer Summary","Brooklyn Technical High School (13K430)","5","963","142","159","580","13","98","1,960"
"2015","Offer Summary","HS for Mathematics, Science, and Engineering at City College (05M692)","2","64","15","26","52","1","20","180"
"2015","Offer Summary","High School of American Studies at Lehman College (10X696)","0","25","5","16","92","7","16","161"
"2015","Offer Summary","Queens High School for the Sciences at York College (28Q687)","1","103","4","14","24","1","8","155"
"2015","Offer Summary","Staten Island Technical High School (31R605)","0","135","6","4","170","0","23","338"
"2015","Offer Summary","Stuyvesant High School (02M475)","5","656","10","20","188","7","67","953"
